n_basis,reg_alpha,RMSE,MAE
12,0.1,4.481369334242781,2.5704375934168255
12,0.01,4.481488785889149,2.5705943861110234
12,0.001,4.481500741179233,2.5706100736414976
12,0.0001,4.481501936809574,2.5706116424772074
4,0.0001,4.629903877583973,2.365504776205277
4,0.001,4.629903947040782,2.3655046464850695
4,0.01,4.629904641613527,2.3655033493017767
4,0.1,4.629911587806676,2.3654903793465354
8,0.1,4.651650902635798,2.4041351400491617
8,0.01,4.651699767122305,2.4042544421806276
8,0.001,4.651704657472467,2.4042663787002523
8,0.0001,4.651705146546526,2.404267572415317
16,0.1,4.684402306956848,2.7946517708143346
16,0.01,4.684744158907955,2.7949841475983175
16,0.001,4.684778398469433,2.7950174218788124
16,0.0001,4.684781822970155,2.795020749673389
